ticker_yahoo,ticker_original,security,sector,sub_industry
EMR,EMR,Emerson Electric,Industrials,Electrical Components & Equipment
EOG,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EPAM,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
EQIX,EQIX,Equinix,Real Estate,Data Center REITs
EQR,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs
EQT,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
ERIE,ERIE,Erie Indemnity,Financials,Insurance Brokers
ES,ES,Eversource Energy,Utilities,Electric Utilities
ESS,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
ETN,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment
ETR,ETR,Entergy,Utilities,Electric Utilities
EVRG,EVRG,Evergy,Utilities,Electric Utilities
EW,EW,Edwards Lifesciences,Health Care,Health Care Equipment
EXC,EXC,Exelon,Utilities,Electric Utilities
EXE,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production
EXPD,EXPD,Expeditors International,Industrials,Air Freight & Logistics
EXPE,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
EXR,EXR,Extra Space Storage,Real Estate,Self-Storage REITs
F,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers
FANG,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
FAST,FAST,Fastenal,Industrials,Trading Companies & Distributors
FCX,FCX,Freeport-McMoRan,Materials,Copper
FDS,FDS,FactSet,Financials,Financial Exchanges & Data
FDX,FDX,FedEx,Industrials,Air Freight & Logistics
FE,FE,FirstEnergy,Utilities,Electric Utilities
FFIV,FFIV,"F5, Inc.",Information Technology,Communications Equipment
FICO,FICO,Fair Isaac,Information Technology,Application Software
FIS,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
FISV,FISV,Fiserv,Financials,Transaction & Payment Processing Services
FITB,FITB,Fifth Third Bancorp,Financials,Regional Banks
FIX,FIX,Comfort Systems USA,Industrials,Construction & Engineering
FOX,FOX,Fox Corporation (Class B),Communication Services,Broadcasting
FOXA,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting
FRT,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
FSLR,FSLR,First Solar,Information Technology,Semiconductors
FTNT,FTNT,Fortinet,Information Technology,Systems Software
FTV,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components
GD,GD,General Dynamics,Industrials,Aerospace & Defense
GDDY,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure
GE,GE,GE Aerospace,Industrials,Aerospace & Defense
GEHC,GEHC,GE HealthCare,Health Care,Health Care Equipment
GEN,GEN,Gen Digital,Information Technology,Systems Software
GEV,GEV,GE Vernova,Industrials,Heavy Electrical Equipment
GILD,GILD,Gilead Sciences,Health Care,Biotechnology
GIS,GIS,General Mills,Consumer Staples,Packaged Foods & Meats
GL,GL,Globe Life,Financials,Life & Health Insurance
GLW,GLW,Corning Inc.,Information Technology,Electronic Components
GM,GM,General Motors,Consumer Discretionary,Automobile Manufacturers
GNRC,GNRC,Generac,Industrials,Electrical Components & Equipment
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GPC,GPC,Genuine Parts Company,Consumer Discretionary,Distributors
GPN,GPN,Global Payments,Financials,Transaction & Payment Processing Services
GRMN,GRMN,Garmin,Consumer Discretionary,Consumer Electronics
GS,GS,Goldman Sachs,Financials,Investment Banking & Brokerage
GWW,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
HAL,HAL,Halliburton,Energy,Oil & Gas Equipment & Services
HAS,HAS,Hasbro,Consumer Discretionary,Leisure Products
HBAN,HBAN,Huntington Bancshares,Financials,Regional Banks
HCA,HCA,HCA Healthcare,Health Care,Health Care Facilities
HD,HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail
HIG,HIG,Hartford (The),Financials,Property & Casualty Insurance
HII,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HLT,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,HOLX,Hologic,Health Care,Health Care Equipment
HON,HON,Honeywell,Industrials,Industrial Conglomerates
HOOD,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage
HPE,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
HRL,HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats
HSIC,HSIC,Henry Schein,Health Care,Health Care Distributors
HST,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HSY,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats
HUBB,HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components
HUM,HUM,Humana,Health Care,Managed Health Care
HWM,HWM,Howmet Aerospace,Industrials,Aerospace & Defense
IBKR,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage
IBM,IBM,IBM,Information Technology,IT Consulting & Other Services
ICE,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IDXX,IDXX,Idexx Laboratories,Health Care,Health Care Equipment
IEX,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
IFF,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
INCY,INCY,Incyte,Health Care,Biotechnology
INTC,INTC,Intel,Information Technology,Semiconductors
INTU,INTU,Intuit,Information Technology,Application Software
INVH,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
IP,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IQV,IQV,IQVIA,Health Care,Life Sciences Tools & Services
IR,IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IRM,IRM,Iron Mountain,Real Estate,Other Specialized REITs
ISRG,ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IT,IT,Gartner,Information Technology,IT Consulting & Other Services
ITW,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
IVZ,IVZ,Invesco,Financials,Asset Management & Custody Banks
J,J,Jacobs Solutions,Industrials,Construction & Engineering
JBHT,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,JBL,Jabil,Information Technology,Electronic Manufacturing Services
JCI,JCI,Johnson Controls,Industrials,Building Products
JKHY,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
JNJ,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JPM,JPM,JPMorgan Chase,Financials,Diversified Banks
KDP,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,KEY,KeyCorp,Financials,Regional Banks
KEYS,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KHC,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KIM,KIM,Kimco Realty,Real Estate,Retail REITs
KKR,KKR,KKR & Co.,Financials,Asset Management & Custody Banks
KLAC,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KMB,KMB,Kimberly-Clark,Consumer Staples,Household Products
KMI,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KO,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KR,KR,Kroger,Consumer Staples,Food Retail
KVUE,KVUE,Kenvue,Consumer Staples,Personal Care Products
L,L,Loews Corporation,Financials,Multi-line Insurance
LDOS,LDOS,Leidos,Industrials,Diversified Support Services
LEN,LEN,Lennar,Consumer Discretionary,Homebuilding
LH,LH,Labcorp,Health Care,Health Care Services
LHX,LHX,L3Harris,Industrials,Aerospace & Defense
LII,LII,Lennox International,Industrials,Building Products
LIN,LIN,Linde plc,Materials,Industrial Gases
LLY,LLY,Lilly (Eli),Health Care,Pharmaceuticals
LMT,LMT,Lockheed Martin,Industrials,Aerospace & Defense
LNT,LNT,Alliant Energy,Utilities,Electric Utilities
LOW,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LRCX,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
LULU,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LUV,LUV,Southwest Airlines,Industrials,Passenger Airlines
LVS,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LW,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LYB,LYB,LyondellBasell,Materials,Specialty Chemicals
LYV,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
MA,MA,Mastercard,Financials,Transaction & Payment Processing Services
MAA,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
MAR,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MAS,MAS,Masco,Industrials,Building Products
MCD,MCD,McDonald's,Consumer Discretionary,Restaurants
MCHP,MCHP,Microchip Technology,Information Technology,Semiconductors
MCK,MCK,McKesson Corporation,Health Care,Health Care Distributors
MCO,MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MDLZ,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MDT,MDT,Medtronic,Health Care,Health Care Equipment
MET,MET,MetLife,Financials,Life & Health Insurance
META,META,Meta Platforms,Communication Services,Interactive Media & Services
MGM,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MKC,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MLM,MLM,Martin Marietta Materials,Materials,Construction Materials
MMC,MMC,Marsh McLennan,Financials,Insurance Brokers
MMM,MMM,3M,Industrials,Industrial Conglomerates
MNST,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MO,MO,Altria,Consumer Staples,Tobacco
MOH,MOH,Molina Healthcare,Health Care,Managed Health Care
MOS,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MPC,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MPWR,MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MRK,MRK,Merck & Co.,Health Care,Pharmaceuticals
MRNA,MRNA,Moderna,Health Care,Biotechnology
MS,MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MSCI,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data
MSFT,MSFT,Microsoft,Information Technology,Systems Software
MSI,MSI,Motorola Solutions,Information Technology,Communications Equipment
MTB,MTB,M&T Bank,Financials,Regional Banks
MTCH,MTCH,Match Group,Communication Services,Interactive Media & Services
MTD,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MU,MU,Micron Technology,Information Technology,Semiconductors
NCLH,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
NDSN,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NEE,NEE,NextEra Energy,Utilities,Multi-Utilities
NEM,NEM,Newmont,Materials,Gold
NFLX,NFLX,Netflix,Communication Services,Movies & Entertainment
NI,NI,NiSource,Utilities,Multi-Utilities
NKE,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NOC,NOC,Northrop Grumman,Industrials,Aerospace & Defense
NOW,NOW,ServiceNow,Information Technology,Systems Software
NRG,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NSC,NSC,Norfolk Southern,Industrials,Rail Transportation
NTAP,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NTRS,NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NUE,NUE,Nucor,Materials,Steel
NVDA,NVDA,Nvidia,Information Technology,Semiconductors
NVR,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
NWS,NWS,News Corp (Class B),Communication Services,Publishing
NWSA,NWSA,News Corp (Class A),Communication Services,Publishing
NXPI,NXPI,NXP Semiconductors,Information Technology,Semiconductors
O,O,Realty Income,Real Estate,Retail REITs
ODFL,ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OKE,OKE,Oneok,Energy,Oil & Gas Storage & Transportation
OMC,OMC,Omnicom Group,Communication Services,Advertising
ON,ON,ON Semiconductor,Information Technology,Semiconductors
ORCL,ORCL,Oracle Corporation,Information Technology,Application Software
ORLY,ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail
OTIS,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
OXY,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
PANW,PANW,Palo Alto Networks,Information Technology,Systems Software
PAYC,PAYC,Paycom,Industrials,Human Resource & Employment Services
PAYX,PAYX,Paychex,Industrials,Human Resource & Employment Services
PCAR,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PCG,PCG,PG&E Corporation,Utilities,Multi-Utilities
PEG,PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PEP,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,PFE,Pfizer,Health Care,Pharmaceuticals
PFG,PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,PG,Procter & Gamble,Consumer Staples,Personal Care Products
PGR,PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PH,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PHM,PHM,PulteGroup,Consumer Discretionary,Homebuilding
PKG,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PLD,PLD,Prologis,Real Estate,Industrial REITs
PLTR,PLTR,Palantir Technologies,Information Technology,Application Software
PM,PM,Philip Morris International,Consumer Staples,Tobacco
PNC,PNC,PNC Financial Services,Financials,Diversified Banks
PNR,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
PNW,PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PODD,PODD,Insulet Corporation,Health Care,Health Care Equipment
POOL,POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL,PPL Corporation,Utilities,Electric Utilities
PRU,PRU,Prudential Financial,Financials,Life & Health Insurance
PSA,PSA,Public Storage,Real Estate,Self-Storage REITs
PSKY,PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
PSX,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PTC,PTC,PTC Inc.,Information Technology,Application Software
PWR,PWR,Quanta Services,Industrials,Construction & Engineering
PYPL,PYPL,PayPal,Financials,Transaction & Payment Processing Services
Q,Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment
QCOM,QCOM,Qualcomm,Information Technology,Semiconductors
RCL,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
REG,REG,Regency Centers,Real Estate,Retail REITs
REGN,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
RF,RF,Regions Financial Corporation,Financials,Regional Banks
RJF,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
RL,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RMD,RMD,ResMed,Health Care,Health Care Equipment
ROK,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
ROP,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RSG,RSG,Republic Services,Industrials,Environmental & Facilities Services
RTX,RTX,RTX Corporation,Industrials,Aerospace & Defense
RVTY,RVTY,Revvity,Health Care,Health Care Equipment
SBAC,SBAC,SBA Communications,Real Estate,Telecom Tower REITs
SBUX,SBUX,Starbucks,Consumer Discretionary,Restaurants
SCHW,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
SHW,SHW,Sherwin-Williams,Materials,Specialty Chemicals
SJM,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SLB,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
SMCI,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals"
SNA,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SNDK,SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals"
SNPS,SNPS,Synopsys,Information Technology,Application Software
SO,SO,Southern Company,Utilities,Electric Utilities
SOLS,SOLS,Solstice Advanced Materials,Materials,Specialty Chemicals
SOLV,SOLV,Solventum,Health Care,Health Care Technology
SPG,SPG,Simon Property Group,Real Estate,Retail REITs
SPGI,SPGI,S&P Global,Financials,Financial Exchanges & Data
SRE,SRE,Sempra,Utilities,Multi-Utilities
STE,STE,Steris,Health Care,Health Care Equipment
STLD,STLD,Steel Dynamics,Materials,Steel
STT,STT,State Street Corporation,Financials,Asset Management & Custody Banks
STX,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
STZ,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
SW,SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials
SWK,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
SWKS,SWKS,Skyworks Solutions,Information Technology,Semiconductors
SYF,SYF,Synchrony Financial,Financials,Consumer Finance
SYK,SYK,Stryker Corporation,Health Care,Health Care Equipment
SYY,SYY,Sysco,Consumer Staples,Food Distributors
T,T,AT&T,Communication Services,Integrated Telecommunication Services
TAP,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
TDG,TDG,TransDigm Group,Industrials,Aerospace & Defense
TDY,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TECH,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
TEL,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TER,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
TFC,TFC,Truist Financial,Financials,Diversified Banks
TGT,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TJX,TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TKO,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment
TMO,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TMUS,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TPL,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production
TPR,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
TRMB,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TROW,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TRV,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
TSCO,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TSN,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
TT,TT,Trane Technologies,Industrials,Building Products
TTD,TTD,Trade Desk (The),Communication Services,Advertising
TTWO,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TXN,TXN,Texas Instruments,Information Technology,Semiconductors
TXT,TXT,Textron,Industrials,Aerospace & Defense
TYL,TYL,Tyler Technologies,Information Technology,Application Software
UAL,UAL,United Airlines Holdings,Industrials,Passenger Airlines
UBER,UBER,Uber,Industrials,Passenger Ground Transportation
UDR,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
UHS,UHS,Universal Health Services,Health Care,Health Care Facilities
ULTA,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail
UNH,UNH,UnitedHealth Group,Health Care,Managed Health Care
UNP,UNP,Union Pacific Corporation,Industrials,Rail Transportation
UPS,UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,URI,United Rentals,Industrials,Trading Companies & Distributors
USB,USB,U.S. Bancorp,Financials,Diversified Banks
V,V,Visa Inc.,Financials,Transaction & Payment Processing Services
VICI,VICI,Vici Properties,Real Estate,Hotel & Resort REITs
VLO,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VLTO,VLTO,Veralto,Industrials,Environmental & Facilities Services
VMC,VMC,Vulcan Materials Company,Materials,Construction Materials
VRSK,VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VRSN,VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRTX,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VST,VST,Vistra Corp.,Utilities,Electric Utilities
VTR,VTR,Ventas,Real Estate,Health Care REITs
